# 506 words without pitch accent data
# Format: word	reading

顔を上げる	かおをあげる
なぞらえる	なぞらえる
ガード下	ガードがーどした
一度も〜ない	いちども〜ない
一度しか〜ない	いちどしか〜ない
ひときわ	ひときわ
必ずしも〜ない	かならずしも〜ない
もっぱら	もっぱら
虚しさ	むなしさ
話を振る	はなをふる
オウム真理教	オウムしんりきょう
によらず	によらず
それどころか	それどころか
方語	ほうご
まとまり	まとまり
気のせいか	きのせいか
指揮を執る	しきをとる
教鞭を執る	きょうべんをとる
なおかつ	なおかつ
気が引ける	きがひける
単独会見	たんどくかいけん
ねだる	ねだる
スルーする	スルーする
要領がいい	ようりょうがいい
愉しむ	たのしむ
私語厳禁	しごげんきん
左脚	ひだりあし
ごらん	ごらん
のみ	のみ
〜てばかりいると	〜てばかりいると
までもない	までもない
どなたでも	どなたでも
肌で感じる	はだでかんじる
ただ〜のみ	ただ〜のみ
寂しげ	さびしげ
ごとく／ごとし	ごとく／ごとし
〜がてら	〜がてら
も同然	もどうぜん
スパンにかけて	スパンにかけて
stem＋抜く	ぬく
かねる	かねる
踵を返す	きびすをかえす
藁にもすがる	わらにもすがる
なぞる	なぞる
カッコ	カッコ
羽目になる	はめになる
かいがある	かいがある
キャラ	キャラ
verb +のももっともだ	のももっともだ
とは at end of sentence	とは
〜とか	〜とか
なんでもない	なんでもない
目を背ける	めをそむける
を兼ねて	をかねて
そうもない	そうもない
〜ずにはいられない	〜ずにはいられない
でもない	でもない
上は	じょうは
とても + neg	とても+neg
ってたらない	ってたらない
西洋かぶれ	せいようかぶれ
ギザギザ/ジグザグ	ギザギザ/ジグザグ
ものを	ものを
ずにすむ	ずにすむ
つきっきり	つきっきり
性虐待	せいぎゃくたい
錆猫	さびねこ
出逢い	であい
ことから	ことから
だっけ	だっけ
まみれ	まみれ
〜てかなわない	〜てかなわない
をかねて	をかねて
を頼りに	をたよりに
モヤモヤ	モヤモヤ
からこそ	からこそ
誰だって	だれだって
～るまでだ	～るまでだ
言いたげ	いいたげ
もろに	もろに
調子に乗る	ちょうしにのる
〜人前	〜にんまえ
もたれる	もたれる
〜等分	〜とうぶん
くず	くず
くむ	くむ
おむつ	おむつ
おんぶ	おんぶ（する）
逆さま／逆さな	さかさま／さかさな
